Vendor Name,General Ledger Number,PO Number,RGA #,PO Class,PO Date,PO Composer,Line No ,Item Number,Item Description,Vendor Catalog Number,"Manufacturer 
Catalog Number",Status,Delivery Date,Self Assessed,Requisition Number,GPO Ind,Commodity Code,Received Qty,Open Qty,Order Qty,UM,Order Price,Extended Amount,Tax,Extended Amount with Tax
MEDLINE INDUSTRIES INC,006222063225,K232238,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  1:21: PM,Jessica Gorecki,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/4/2018  1:21:38 PM,,MSSS0052303,,27,80,0,80,EA,$5.54 ,$443.20 ,0,$443.20 
MEDLINE INDUSTRIES INC,002999713025,K232468,,INVENTORY - STORES, 06/04/2018  11:20: AM,Janet Caliendo,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/7/2018  11:20:34 AM,,445937,,27,2,0,2,CS,$221.60 ,$443.20 ,0,$443.20 
MEDLINE INDUSTRIES INC,002158563225,K232550,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  2:12: PM,Jose Wilmer Mota,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/7/2018  2:12:24 PM,,MSSS0052671,,27,1,0,1,CS,$221.60 ,$221.60 ,0,$221.60 
MEDLINE INDUSTRIES INC,002999713025,K232565,,INVENTORY - STORES, 06/04/2018  2:31: PM,Janet Caliendo,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/7/2018  2:31:30 PM,,445999,,27,8,0,8,CS,$221.60 ,"$1,772.80 ",0,"$1,772.80 "
MEDLINE INDUSTRIES INC,002999713025,K233037,,INVENTORY - STORES, 06/06/2018  11:16: AM,Janet Caliendo,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/9/2018  11:16:15 AM,,446456,,27,2,0,2,CS,$221.60 ,$443.20 ,0,$443.20 
MEDLINE INDUSTRIES INC,002401063225,K233500,,MEDICAL/SURGICAL SUPPLIES, 06/07/2018  3:10: PM,Janet Caliendo,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/10/2018  3:10:04 PM,,446803,,27,4,0,4,CS,$221.60 ,$886.40 ,0,$886.40 
MEDLINE INDUSTRIES INC,002506063225,K233545,,MEDICAL/SURGICAL SUPPLIES, 06/08/2018  8:59: AM,Sandra Veiga,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Killed,6/11/2018  8:59:23 AM,,MSSS0053015,,27,0,0,2,CS,$221.60 ,$443.20 ,0,$443.20 
MEDLINE INDUSTRIES INC,002999713025,K233591,,INVENTORY - STORES, 06/08/2018  11:17: AM,Janet Caliendo,2,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/11/2018  11:17:16 AM,,447012,,27,2,0,2,CS,$221.60 ,$443.20 ,0,$443.20 
MEDLINE INDUSTRIES INC,006222063225,K233671,,MEDICAL/SURGICAL SUPPLIES, 06/08/2018  2:11: PM,Jessica Gorecki,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/11/2018  2:11:20 PM,,MSSS0052998,,27,160,0,160,EA,$5.54 ,$886.40 ,0,$886.40 
MEDLINE INDUSTRIES INC,002503463225,K233999,,MEDICAL/SURGICAL SUPPLIES, 06/11/2018  1:02: PM,Sandra Veiga,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/14/2018  1:02:18 PM,,MSSS0053233,,27,1,0,1,CS,$221.60 ,$221.60 ,0,$221.60 
MEDLINE INDUSTRIES INC,002158563225,K234396,,MEDICAL/SURGICAL SUPPLIES, 06/12/2018  4:13: PM,Hazel E. Townsend,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/15/2018  4:13:20 PM,,MSSS0053505,,27,1,0,1,CS,$221.60 ,$221.60 ,0,$221.60 
MEDLINE INDUSTRIES INC,002211063225,K234871,,MEDICAL/SURGICAL SUPPLIES, 06/14/2018  1:57: PM,Loida Loretta Cooper,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/18/2018  12:00:00 AM,,MSSS0053698,,27,4,0,4,CS,$221.60 ,$886.40 ,0,$886.40 
MEDLINE INDUSTRIES INC,002211063225,K235565,,MEDICAL/SURGICAL SUPPLIES, 06/19/2018  9:23: AM,Sandra Veiga,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/22/2018  9:23:27 AM,,MSSS0054037,,27,4,0,4,CS,$221.60 ,$886.40 ,0,$886.40 
MEDLINE INDUSTRIES INC,002158563225,K235668,,MEDICAL/SURGICAL SUPPLIES, 06/19/2018  12:09: PM,Hazel E. Townsend,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/25/2018  12:00:00 AM,,MSSS0054122,,27,4,0,4,CS,$221.60 ,$886.40 ,0,$886.40 
MEDLINE INDUSTRIES INC,002401063225,K235679,,MEDICAL/SURGICAL SUPPLIES, 06/19/2018  12:31: PM,Janet Caliendo,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/22/2018  12:31:51 PM,,449201,,27,3,0,3,CS,$221.60 ,$664.80 ,0,$664.80 
MEDLINE INDUSTRIES INC,002150063225,K235715,,MEDICAL/SURGICAL SUPPLIES, 06/19/2018  1:26: PM,Lisa Cunningham,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/21/2018  12:00:00 AM,,MSSS0054129,,27,2,0,2,CS,$221.60 ,$443.20 ,0,$443.20 
MEDLINE INDUSTRIES INC,002999713025,K235985,,INVENTORY - STORES, 06/20/2018  12:50: PM,Janet Caliendo,6,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/23/2018  12:50:46 PM,,449434,,27,1,0,1,CS,$221.60 ,$221.60 ,0,$221.60 
MEDLINE INDUSTRIES INC,002401063225,K236152,,MEDICAL/SURGICAL SUPPLIES, 06/21/2018  10:38: AM,Janet Caliendo,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,6/24/2018  10:38:12 AM,,449524,,27,2,0,2,CS,$221.60 ,$443.20 ,0,$443.20 
